CHAIN,TOKEN,VOLUME_USD
Arbitrum,WETH,24451216435.04
Arbitrum,USDC,16446495657.18
Arbitrum,ARB,8759303691.17
Arbitrum,WBTC,2673278671.62
Arbitrum,GMX,1710211513.07
Avalanche,WAVAX,238970523.81
Avalanche,USDC,220326491.22
Avalanche,USDt,82370753.74
Avalanche,WETH.e,63375733.59
Avalanche,BTC.b,38119140.11
BSC,WBNB,610036758.41
BSC,BTCB,325259362.4
BSC,ETH,272585846.65
BSC,TWT,19346763.84
BSC,BUSD,16766835.88
Base,WETH,529524324.32
Base,USDbC,526786702.18
Base,USDC,88233067.98
Base,DAI,17279303.96
Base,cbETH,16701102.54
Optimism,WETH,4631176004.46
Optimism,OP,2177525248.16
Optimism,USDC,1489368533.75
Optimism,DAI,651399065.76
Optimism,SNX,364330042.96
Polygon,USDC,17146181032.42
Polygon,WETH,13727609809.87
Polygon,WMATIC,10535492931.77
Polygon,WBTC,2559679336.92
Polygon,LINK,473326401.51
﻿
