CHAIN,WEEK_START,NEW_TOKENS_COUNT
Arbitrum,2023-10-16 00:00:00.000,35
Arbitrum,2023-10-23 00:00:00.000,26
Arbitrum,2023-10-30 00:00:00.000,46
Arbitrum,2023-11-06 00:00:00.000,47
Arbitrum,2023-11-13 00:00:00.000,38
Arbitrum,2023-11-20 00:00:00.000,17
Arbitrum,2023-11-27 00:00:00.000,39
Arbitrum,2023-12-04 00:00:00.000,55
Arbitrum,2023-12-11 00:00:00.000,32
Arbitrum,2023-12-18 00:00:00.000,82
Arbitrum,2023-12-25 00:00:00.000,74
Arbitrum,2024-01-01 00:00:00.000,79
Arbitrum,2024-01-08 00:00:00.000,76
Arbitrum,2024-01-15 00:00:00.000,27
Avalanche,2023-06-19 00:00:00.000,5
Avalanche,2023-07-10 00:00:00.000,21
Avalanche,2023-07-17 00:00:00.000,6
Avalanche,2023-07-24 00:00:00.000,11
Avalanche,2023-07-31 00:00:00.000,7
Avalanche,2023-08-07 00:00:00.000,9
Avalanche,2023-08-14 00:00:00.000,6
Avalanche,2023-08-21 00:00:00.000,10
Avalanche,2023-08-28 00:00:00.000,4
Avalanche,2023-09-04 00:00:00.000,1
Avalanche,2023-09-11 00:00:00.000,4
Avalanche,2023-09-18 00:00:00.000,3
Avalanche,2023-09-25 00:00:00.000,3
Avalanche,2023-10-02 00:00:00.000,3
Avalanche,2023-10-09 00:00:00.000,8
Avalanche,2023-10-16 00:00:00.000,4
Avalanche,2023-10-23 00:00:00.000,6
Avalanche,2023-10-30 00:00:00.000,2
Avalanche,2023-11-06 00:00:00.000,5
Avalanche,2023-11-13 00:00:00.000,6
Avalanche,2023-11-20 00:00:00.000,6
Avalanche,2023-11-27 00:00:00.000,2
Avalanche,2023-12-04 00:00:00.000,13
Avalanche,2023-12-11 00:00:00.000,12
Avalanche,2023-12-18 00:00:00.000,6
Avalanche,2023-12-25 00:00:00.000,15
Avalanche,2024-01-01 00:00:00.000,22
Avalanche,2024-01-08 00:00:00.000,6
Avalanche,2024-01-15 00:00:00.000,14
BSC,2023-03-06 00:00:00.000,3
BSC,2023-03-13 00:00:00.000,185
BSC,2023-03-20 00:00:00.000,69
BSC,2023-03-27 00:00:00.000,43
BSC,2023-04-03 00:00:00.000,35
BSC,2023-04-10 00:00:00.000,30
BSC,2023-04-17 00:00:00.000,92
BSC,2023-04-24 00:00:00.000,45
BSC,2023-05-01 00:00:00.000,71
BSC,2023-05-08 00:00:00.000,98
BSC,2023-05-15 00:00:00.000,75
BSC,2023-05-22 00:00:00.000,64
BSC,2023-05-29 00:00:00.000,53
BSC,2023-06-05 00:00:00.000,48
BSC,2023-06-12 00:00:00.000,39
BSC,2023-06-19 00:00:00.000,40
BSC,2023-06-26 00:00:00.000,39
BSC,2023-07-03 00:00:00.000,59
BSC,2023-07-10 00:00:00.000,26
BSC,2023-07-17 00:00:00.000,42
BSC,2023-07-24 00:00:00.000,49
BSC,2023-07-31 00:00:00.000,47
BSC,2023-08-07 00:00:00.000,46
BSC,2023-08-14 00:00:00.000,43
BSC,2023-08-21 00:00:00.000,41
BSC,2023-08-28 00:00:00.000,50
BSC,2023-09-04 00:00:00.000,29
BSC,2023-09-11 00:00:00.000,39
BSC,2023-09-18 00:00:00.000,35
BSC,2023-09-25 00:00:00.000,26
BSC,2023-10-02 00:00:00.000,31
BSC,2023-10-09 00:00:00.000,43
BSC,2023-10-16 00:00:00.000,37
BSC,2023-10-23 00:00:00.000,30
BSC,2023-10-30 00:00:00.000,39
BSC,2023-11-06 00:00:00.000,34
BSC,2023-11-13 00:00:00.000,49
BSC,2023-11-20 00:00:00.000,55
BSC,2023-11-27 00:00:00.000,55
BSC,2023-12-04 00:00:00.000,53
BSC,2023-12-11 00:00:00.000,38
BSC,2023-12-18 00:00:00.000,40
BSC,2023-12-25 00:00:00.000,52
BSC,2024-01-01 00:00:00.000,44
BSC,2024-01-08 00:00:00.000,56
BSC,2024-01-15 00:00:00.000,31
Base,2023-07-31 00:00:00.000,6
Base,2023-08-07 00:00:00.000,634
Base,2023-08-14 00:00:00.000,185
Base,2023-08-21 00:00:00.000,98
Base,2023-08-28 00:00:00.000,54
Base,2023-09-04 00:00:00.000,33
Base,2023-09-11 00:00:00.000,29
Base,2023-09-18 00:00:00.000,23
Base,2023-09-25 00:00:00.000,17
Base,2023-10-02 00:00:00.000,19
Base,2023-10-09 00:00:00.000,21
Base,2023-10-16 00:00:00.000,11
Base,2023-10-23 00:00:00.000,12
Base,2023-10-30 00:00:00.000,38
Base,2023-11-06 00:00:00.000,19
Base,2023-11-13 00:00:00.000,18
Base,2023-11-20 00:00:00.000,5
Base,2023-11-27 00:00:00.000,11
Base,2023-12-04 00:00:00.000,15
Base,2023-12-11 00:00:00.000,16
Base,2023-12-18 00:00:00.000,16
Base,2023-12-25 00:00:00.000,18
Base,2024-01-01 00:00:00.000,11
Base,2024-01-08 00:00:00.000,12
Base,2024-01-15 00:00:00.000,10
Optimism,2021-11-08 00:00:00.000,9
Optimism,2021-11-15 00:00:00.000,7
Optimism,2021-11-22 00:00:00.000,15
Optimism,2021-11-29 00:00:00.000,2
Optimism,2021-12-06 00:00:00.000,1
Optimism,2021-12-13 00:00:00.000,2
Optimism,2021-12-20 00:00:00.000,5
Optimism,2021-12-27 00:00:00.000,3
Optimism,2022-01-03 00:00:00.000,4
Optimism,2022-01-10 00:00:00.000,5
Optimism,2022-01-17 00:00:00.000,5
Optimism,2022-01-24 00:00:00.000,3
Optimism,2022-01-31 00:00:00.000,4
Optimism,2022-02-07 00:00:00.000,3
Optimism,2022-02-14 00:00:00.000,3
Optimism,2022-02-21 00:00:00.000,5
Optimism,2022-02-28 00:00:00.000,3
Optimism,2022-03-07 00:00:00.000,3
Optimism,2022-03-14 00:00:00.000,6
Optimism,2022-03-21 00:00:00.000,4
Optimism,2022-04-04 00:00:00.000,3
Optimism,2022-04-11 00:00:00.000,5
Optimism,2022-04-18 00:00:00.000,7
Optimism,2022-04-25 00:00:00.000,4
Optimism,2022-05-02 00:00:00.000,3
Optimism,2022-05-09 00:00:00.000,1
Optimism,2022-05-16 00:00:00.000,1
Optimism,2022-05-23 00:00:00.000,2
Optimism,2022-05-30 00:00:00.000,22
Optimism,2022-06-06 00:00:00.000,5
Optimism,2022-06-13 00:00:00.000,2
Optimism,2022-06-27 00:00:00.000,2
Optimism,2022-07-04 00:00:00.000,2
Optimism,2022-07-11 00:00:00.000,2
Optimism,2022-07-18 00:00:00.000,6
Optimism,2022-07-25 00:00:00.000,5
Optimism,2022-08-01 00:00:00.000,7
Optimism,2022-08-08 00:00:00.000,13
Optimism,2022-08-15 00:00:00.000,6
Optimism,2022-08-22 00:00:00.000,2
Optimism,2022-08-29 00:00:00.000,2
Optimism,2022-09-05 00:00:00.000,13
Optimism,2022-09-12 00:00:00.000,4
Optimism,2022-09-19 00:00:00.000,1
Optimism,2022-09-26 00:00:00.000,9
Optimism,2022-10-03 00:00:00.000,7
Optimism,2022-10-10 00:00:00.000,3
Optimism,2022-10-17 00:00:00.000,5
Optimism,2022-10-24 00:00:00.000,6
Optimism,2022-10-31 00:00:00.000,8
Optimism,2022-11-07 00:00:00.000,4
Optimism,2022-11-14 00:00:00.000,8
Optimism,2022-11-21 00:00:00.000,3
Optimism,2022-11-28 00:00:00.000,2
Optimism,2022-12-05 00:00:00.000,6
Optimism,2022-12-12 00:00:00.000,4
Optimism,2022-12-19 00:00:00.000,2
Optimism,2022-12-26 00:00:00.000,3
Optimism,2023-01-02 00:00:00.000,4
Optimism,2023-01-09 00:00:00.000,10
Optimism,2023-01-16 00:00:00.000,9
Optimism,2023-01-23 00:00:00.000,10
Optimism,2023-01-30 00:00:00.000,7
Optimism,2023-02-06 00:00:00.000,8
Optimism,2023-02-13 00:00:00.000,4
Optimism,2023-02-20 00:00:00.000,32
Optimism,2023-02-27 00:00:00.000,5
Optimism,2023-03-06 00:00:00.000,6
Optimism,2023-03-13 00:00:00.000,7
Optimism,2023-03-20 00:00:00.000,4
Optimism,2023-03-27 00:00:00.000,5
Optimism,2023-04-03 00:00:00.000,2
Optimism,2023-04-10 00:00:00.000,4
Optimism,2023-04-17 00:00:00.000,7
Optimism,2023-04-24 00:00:00.000,5
Optimism,2023-05-01 00:00:00.000,4
Optimism,2023-05-08 00:00:00.000,4
Optimism,2023-05-15 00:00:00.000,10
Optimism,2023-05-22 00:00:00.000,7
Optimism,2023-05-29 00:00:00.000,9
Optimism,2023-06-05 00:00:00.000,15
Optimism,2023-06-12 00:00:00.000,5
