CHAIN,WEEK_START,AVG_TIME_DIFF_SECONDS
Arbitrum,2022-09-05 00:00:00.000,2.178634
Optimism,2022-09-05 00:00:00.000,1.205448
Polygon,2022-09-05 00:00:00.000,1.065659
Arbitrum,2022-09-12 00:00:00.000,2.358595
Optimism,2022-09-12 00:00:00.000,1.055785
Polygon,2022-09-12 00:00:00.000,0.899354
Arbitrum,2022-09-19 00:00:00.000,1.821065
Optimism,2022-09-19 00:00:00.000,0.822995
Polygon,2022-09-19 00:00:00.000,0.758257
Arbitrum,2022-09-26 00:00:00.000,1.874235
Optimism,2022-09-26 00:00:00.000,1.165537
Polygon,2022-09-26 00:00:00.000,0.872733
Arbitrum,2022-10-03 00:00:00.000,1.911868
Optimism,2022-10-03 00:00:00.000,2.010685
Polygon,2022-10-03 00:00:00.000,1.065027
Arbitrum,2022-10-10 00:00:00.000,2.286591
Optimism,2022-10-10 00:00:00.000,1.736905
Polygon,2022-10-10 00:00:00.000,1.124151
Arbitrum,2022-10-17 00:00:00.000,1.178998
Optimism,2022-10-17 00:00:00.000,1.754734
Polygon,2022-10-17 00:00:00.000,1.213451
Arbitrum,2022-10-24 00:00:00.000,0.973214
Optimism,2022-10-24 00:00:00.000,0.914949
Polygon,2022-10-24 00:00:00.000,0.882783
Arbitrum,2022-10-31 00:00:00.000,1.141007
Optimism,2022-10-31 00:00:00.000,0.853927
Polygon,2022-10-31 00:00:00.000,0.749484
Arbitrum,2022-11-07 00:00:00.000,0.828488
Optimism,2022-11-07 00:00:00.000,0.557795
Polygon,2022-11-07 00:00:00.000,0.414396
Arbitrum,2022-11-14 00:00:00.000,1.49016
Optimism,2022-11-14 00:00:00.000,1.121087
Polygon,2022-11-14 00:00:00.000,0.750496
Arbitrum,2022-11-21 00:00:00.000,1.501808
Optimism,2022-11-21 00:00:00.000,1.09971
Polygon,2022-11-21 00:00:00.000,0.819521
Arbitrum,2022-11-28 00:00:00.000,1.549121
Optimism,2022-11-28 00:00:00.000,1.245555
Polygon,2022-11-28 00:00:00.000,1.037849
Arbitrum,2022-12-05 00:00:00.000,2.042181
Optimism,2022-12-05 00:00:00.000,1.314477
Polygon,2022-12-05 00:00:00.000,1.431696
Arbitrum,2022-12-12 00:00:00.000,1.723038
Optimism,2022-12-12 00:00:00.000,1.052223
Polygon,2022-12-12 00:00:00.000,1.258811
Arbitrum,2022-12-19 00:00:00.000,2.202481
Optimism,2022-12-19 00:00:00.000,1.295907
Polygon,2022-12-19 00:00:00.000,1.549412
Arbitrum,2022-12-26 00:00:00.000,3.295635
Optimism,2022-12-26 00:00:00.000,1.332414
Polygon,2022-12-26 00:00:00.000,1.614567
Arbitrum,2023-01-02 00:00:00.000,2.249249
Optimism,2023-01-02 00:00:00.000,0.969341
Polygon,2023-01-02 00:00:00.000,1.781269
Arbitrum,2023-01-09 00:00:00.000,1.978216
Optimism,2023-01-09 00:00:00.000,0.555836
Polygon,2023-01-09 00:00:00.000,1.007649
Arbitrum,2023-01-16 00:00:00.000,1.992019
Optimism,2023-01-16 00:00:00.000,0.788964
Polygon,2023-01-16 00:00:00.000,0.977349
Arbitrum,2023-01-23 00:00:00.000,1.934435
Optimism,2023-01-23 00:00:00.000,0.96056
Polygon,2023-01-23 00:00:00.000,0.864299
Arbitrum,2023-01-30 00:00:00.000,1.44646
Optimism,2023-01-30 00:00:00.000,0.930635
Polygon,2023-01-30 00:00:00.000,1.001212
Arbitrum,2023-02-06 00:00:00.000,1.161116
Optimism,2023-02-06 00:00:00.000,1.124424
Polygon,2023-02-06 00:00:00.000,0.954166
Arbitrum,2023-02-13 00:00:00.000,1.00315
Optimism,2023-02-13 00:00:00.000,1.187805
Polygon,2023-02-13 00:00:00.000,0.960683
Arbitrum,2023-02-20 00:00:00.000,0.960986
Optimism,2023-02-20 00:00:00.000,0.971574
Polygon,2023-02-20 00:00:00.000,1.065966
Arbitrum,2023-02-27 00:00:00.000,1.235533
Optimism,2023-02-27 00:00:00.000,1.296966
Polygon,2023-02-27 00:00:00.000,1.22892
Arbitrum,2023-03-06 00:00:00.000,1.058388
Optimism,2023-03-06 00:00:00.000,0.877693
Polygon,2023-03-06 00:00:00.000,0.840633
Arbitrum,2023-03-13 00:00:00.000,0.763682
BSC,2023-03-13 00:00:00.000,14.39164
Optimism,2023-03-13 00:00:00.000,0.664178
Polygon,2023-03-13 00:00:00.000,0.805203
Arbitrum,2023-03-20 00:00:00.000,0.55316
BSC,2023-03-20 00:00:00.000,5.728606
Optimism,2023-03-20 00:00:00.000,1.013011
Polygon,2023-03-20 00:00:00.000,0.986068
Arbitrum,2023-03-27 00:00:00.000,0.579478
BSC,2023-03-27 00:00:00.000,6.376488
Optimism,2023-03-27 00:00:00.000,1.262552
Polygon,2023-03-27 00:00:00.000,1.125295
Arbitrum,2023-04-03 00:00:00.000,0.731778
BSC,2023-04-03 00:00:00.000,6.417438
Optimism,2023-04-03 00:00:00.000,1.379195
Polygon,2023-04-03 00:00:00.000,1.311735
Arbitrum,2023-04-10 00:00:00.000,0.587062
BSC,2023-04-10 00:00:00.000,5.65123
Optimism,2023-04-10 00:00:00.000,1.202561
Polygon,2023-04-10 00:00:00.000,1.112015
Arbitrum,2023-04-17 00:00:00.000,0.47793
BSC,2023-04-17 00:00:00.000,5.482708
Optimism,2023-04-17 00:00:00.000,1.298354
Polygon,2023-04-17 00:00:00.000,1.201892
Arbitrum,2023-04-24 00:00:00.000,0.62047
BSC,2023-04-24 00:00:00.000,4.659294
Optimism,2023-04-24 00:00:00.000,1.666946
Polygon,2023-04-24 00:00:00.000,1.307646
Arbitrum,2023-05-01 00:00:00.000,0.59317
BSC,2023-05-01 00:00:00.000,5.15146
Optimism,2023-05-01 00:00:00.000,2.238079
Polygon,2023-05-01 00:00:00.000,1.352993
Arbitrum,2023-05-08 00:00:00.000,0.639102
BSC,2023-05-08 00:00:00.000,6.057032
Optimism,2023-05-08 00:00:00.000,2.070077
Polygon,2023-05-08 00:00:00.000,1.177847
Arbitrum,2023-05-15 00:00:00.000,0.934317
BSC,2023-05-15 00:00:00.000,5.987684
Optimism,2023-05-15 00:00:00.000,2.064186
Polygon,2023-05-15 00:00:00.000,1.302563
Arbitrum,2023-05-22 00:00:00.000,0.874273
BSC,2023-05-22 00:00:00.000,4.819076
Optimism,2023-05-22 00:00:00.000,2.267573
Polygon,2023-05-22 00:00:00.000,1.299783
Arbitrum,2023-05-29 00:00:00.000,0.898493
BSC,2023-05-29 00:00:00.000,4.714915
Optimism,2023-05-29 00:00:00.000,1.844297
Polygon,2023-05-29 00:00:00.000,1.299844
Arbitrum,2023-06-05 00:00:00.000,0.776079
BSC,2023-06-05 00:00:00.000,3.826953
Optimism,2023-06-05 00:00:00.000,1.444459
Polygon,2023-06-05 00:00:00.000,0.759162
Arbitrum,2023-06-12 00:00:00.000,0.860984
BSC,2023-06-12 00:00:00.000,4.025472
Optimism,2023-06-12 00:00:00.000,1.670851
Polygon,2023-06-12 00:00:00.000,0.885322
Arbitrum,2023-06-19 00:00:00.000,0.773258
BSC,2023-06-19 00:00:00.000,4.696879
Optimism,2023-06-19 00:00:00.000,1.495558
Polygon,2023-06-19 00:00:00.000,0.873962
Arbitrum,2023-06-26 00:00:00.000,0.654345
BSC,2023-06-26 00:00:00.000,4.842223
Optimism,2023-06-26 00:00:00.000,1.459333
Polygon,2023-06-26 00:00:00.000,0.807161
Arbitrum,2023-07-03 00:00:00.000,0.914854
BSC,2023-07-03 00:00:00.000,5.650777
Optimism,2023-07-03 00:00:00.000,1.78294
Polygon,2023-07-03 00:00:00.000,0.946102
Arbitrum,2023-07-10 00:00:00.000,0.822773
Avalanche,2023-07-10 00:00:00.000,40.887964
BSC,2023-07-10 00:00:00.000,4.274697
Optimism,2023-07-10 00:00:00.000,1.402102
Polygon,2023-07-10 00:00:00.000,0.831814
Arbitrum,2023-07-17 00:00:00.000,0.964198
Avalanche,2023-07-17 00:00:00.000,21.375565
BSC,2023-07-17 00:00:00.000,4.454171
Optimism,2023-07-17 00:00:00.000,1.480104
Polygon,2023-07-17 00:00:00.000,0.991154
Arbitrum,2023-07-24 00:00:00.000,1.339194
Avalanche,2023-07-24 00:00:00.000,15.972348
BSC,2023-07-24 00:00:00.000,4.452256
Optimism,2023-07-24 00:00:00.000,1.055551
Polygon,2023-07-24 00:00:00.000,1.250013
Arbitrum,2023-07-31 00:00:00.000,1.280758
Avalanche,2023-07-31 00:00:00.000,22.343703
BSC,2023-07-31 00:00:00.000,4.537562
Optimism,2023-07-31 00:00:00.000,0.845745
Polygon,2023-07-31 00:00:00.000,1.224425
Arbitrum,2023-08-07 00:00:00.000,1.460353
Avalanche,2023-08-07 00:00:00.000,25.508561
BSC,2023-08-07 00:00:00.000,5.15529
Base,2023-08-07 00:00:00.000,6.041462
Optimism,2023-08-07 00:00:00.000,1.025951
Polygon,2023-08-07 00:00:00.000,1.454403
Arbitrum,2023-08-14 00:00:00.000,1.229076
Avalanche,2023-08-14 00:00:00.000,19.224433
BSC,2023-08-14 00:00:00.000,5.714584
Base,2023-08-14 00:00:00.000,7.509673
Optimism,2023-08-14 00:00:00.000,1.152202
Polygon,2023-08-14 00:00:00.000,1.268113
Arbitrum,2023-08-21 00:00:00.000,1.553188
Avalanche,2023-08-21 00:00:00.000,25.338864
BSC,2023-08-21 00:00:00.000,6.696221
Base,2023-08-21 00:00:00.000,5.88867
Optimism,2023-08-21 00:00:00.000,1.347217
Polygon,2023-08-21 00:00:00.000,1.425803
Arbitrum,2023-08-28 00:00:00.000,1.553527
Avalanche,2023-08-28 00:00:00.000,28.404564
BSC,2023-08-28 00:00:00.000,7.362972
Base,2023-08-28 00:00:00.000,9.583155
Optimism,2023-08-28 00:00:00.000,1.265885
Polygon,2023-08-28 00:00:00.000,1.585293
Arbitrum,2023-09-04 00:00:00.000,1.819523
Avalanche,2023-09-04 00:00:00.000,46.056668
BSC,2023-09-04 00:00:00.000,8.222787
Base,2023-09-04 00:00:00.000,11.315945
Optimism,2023-09-04 00:00:00.000,1.566946
Polygon,2023-09-04 00:00:00.000,1.688454
Arbitrum,2023-09-11 00:00:00.000,1.430474
Avalanche,2023-09-11 00:00:00.000,51.059012
BSC,2023-09-11 00:00:00.000,7.312433
Base,2023-09-11 00:00:00.000,4.733859
Optimism,2023-09-11 00:00:00.000,1.436423
Polygon,2023-09-11 00:00:00.000,1.587845
Arbitrum,2023-09-18 00:00:00.000,1.703053
Avalanche,2023-09-18 00:00:00.000,48.092637
BSC,2023-09-18 00:00:00.000,7.204427
Base,2023-09-18 00:00:00.000,7.951746
Optimism,2023-09-18 00:00:00.000,1.998566
Polygon,2023-09-18 00:00:00.000,1.644464
Arbitrum,2023-09-25 00:00:00.000,1.574489
Avalanche,2023-09-25 00:00:00.000,48.198677
BSC,2023-09-25 00:00:00.000,6.178606
Base,2023-09-25 00:00:00.000,6.286709
Optimism,2023-09-25 00:00:00.000,1.626407
Polygon,2023-09-25 00:00:00.000,1.45152
Arbitrum,2023-10-02 00:00:00.000,1.510258
Avalanche,2023-10-02 00:00:00.000,19.845513
BSC,2023-10-02 00:00:00.000,5.148033
Base,2023-10-02 00:00:00.000,6.231752
Optimism,2023-10-02 00:00:00.000,2.376493
Polygon,2023-10-02 00:00:00.000,1.234423
Arbitrum,2023-10-09 00:00:00.000,1.819938
Avalanche,2023-10-09 00:00:00.000,53.301578
BSC,2023-10-09 00:00:00.000,5.925459
Base,2023-10-09 00:00:00.000,6.06628
Optimism,2023-10-09 00:00:00.000,2.403044
Polygon,2023-10-09 00:00:00.000,1.528688
Arbitrum,2023-10-16 00:00:00.000,1.56807
Avalanche,2023-10-16 00:00:00.000,41.079677
BSC,2023-10-16 00:00:00.000,5.948912
Base,2023-10-16 00:00:00.000,4.620517
Optimism,2023-10-16 00:00:00.000,2.463291
Polygon,2023-10-16 00:00:00.000,1.014747
Arbitrum,2023-10-23 00:00:00.000,0.790071
Avalanche,2023-10-23 00:00:00.000,15.084676
BSC,2023-10-23 00:00:00.000,4.337191
