WEEK,CHAIN,UNIQUE_USERS,ACTIVE_POOLS,TOTAL_VOLUME,AVG_VOLUME,MEDIAN_VOLUME,CUMU_VOLUME
2022-03-21 00:00:00.000,Arbitrum,5803,114,25764355.48,3833.981470238,968.48,1150351699.33
2022-03-21 00:00:00.000,Optimism,5074,116,15890069.27,1978.591616237,617.91,496602591.7
2022-03-21 00:00:00.000,Polygon,54703,534,382946440.72,1435.223898958,273.735,2269198385.66
2022-03-28 00:00:00.000,Arbitrum,6604,127,75040852.81,7861.797046621,1419.58,1225392552.14
2022-03-28 00:00:00.000,Optimism,5678,117,22196647.44,2373.465295124,692.345,518799239.14
2022-03-28 00:00:00.000,Polygon,59284,583,535606894.93,1512.274777947,306.5,2804805280.59
2022-04-04 00:00:00.000,Arbitrum,4638,111,44239387.33,7425.207675394,1540.77,1269631939.47
2022-04-04 00:00:00.000,Optimism,3954,107,17284310,2302.42573598,689.27,536083549.14
2022-04-04 00:00:00.000,Polygon,61467,575,457698716.23,1470.343176008,299.91,3262503996.82
2022-04-11 00:00:00.000,Arbitrum,7350,114,42706841.78,5248.475086641,858.1,1312338781.25
2022-04-11 00:00:00.000,Optimism,6017,116,16269085.56,1537.575423873,266.41,552352634.7
2022-04-11 00:00:00.000,Polygon,68558,595,401038371.91,1357.285053051,201.62,3663542368.73
2022-04-18 00:00:00.000,Arbitrum,8259,116,34296073.79,4066.888863987,399.5,1346634855.04
2022-04-18 00:00:00.000,Optimism,14760,134,32116180.7,1270.267796543,178.48,584468815.4
2022-04-18 00:00:00.000,Polygon,70291,590,442811136.57,1339.51386843,198.555,4106353505.3
2022-04-25 00:00:00.000,Arbitrum,20478,134,26610907.61,2450.359816759,209.44,1373245762.65
2022-04-25 00:00:00.000,Optimism,13413,139,26580563.44,1220.355513521,140.03,611049378.84
2022-04-25 00:00:00.000,Polygon,76552,670,556832146.91,1354.826038287,171.91,4663185652.21
2022-05-02 00:00:00.000,Arbitrum,22416,124,32464601.04,3001.534859467,285.07,1405710363.69
2022-05-02 00:00:00.000,Optimism,12085,127,22088977.36,1166.876775489,118.95,633138356.2
2022-05-02 00:00:00.000,Polygon,75087,665,601210458.41,1370.930169539,191.51,5264396110.62
2022-05-09 00:00:00.000,Arbitrum,16187,136,59801520.78,4278.260178852,986.885,1465511884.47
2022-05-09 00:00:00.000,Optimism,8960,130,43298339.4,1871.470409751,855.625,676436695.6
2022-05-09 00:00:00.000,Polygon,67967,710,1304372452.14,1624.884088332,399.395,6568768562.76
2022-05-16 00:00:00.000,Arbitrum,20349,122,16148363.12,1625.401421238,207.91,1481660247.59
2022-05-16 00:00:00.000,Optimism,10808,117,16598885.95,1046.258175228,168.58,693035581.55
2022-05-16 00:00:00.000,Polygon,60800,641,458659414.08,957.183611199,104.04,7027427976.84
2022-05-23 00:00:00.000,Arbitrum,20185,132,18072531.71,1732.080861606,249.14,1499732779.3
2022-05-23 00:00:00.000,Optimism,13036,131,16100045.9,886.371168245,140.23,709135627.45
2022-05-23 00:00:00.000,Polygon,55179,659,476196307.06,1094.704154161,157.98,7503624283.9
2022-05-30 00:00:00.000,Arbitrum,25453,139,17770677.42,1525.380036052,115.205,1517503456.72
2022-05-30 00:00:00.000,Optimism,68945,177,295256313.23,1771.406795277,487.05,1004391940.68
2022-05-30 00:00:00.000,Polygon,54545,655,405109500.91,1054.920462034,122.69,7908733784.81
2022-06-06 00:00:00.000,Arbitrum,23787,137,19007811.99,1526.977184287,139.485,1536511268.71
2022-06-06 00:00:00.000,Optimism,27396,162,109167884.43,722.927821241,44.12,1113559825.11
2022-06-06 00:00:00.000,Polygon,56078,639,537285661.63,1152.921567118,149.63,8446019446.44
2022-06-13 00:00:00.000,Arbitrum,17030,134,23572427.11,1443.504415799,242.565,1560083695.82
2022-06-13 00:00:00.000,Optimism,15808,155,58108169.95,320.151678494,63.66,1171667995.06
2022-06-13 00:00:00.000,Polygon,54087,669,765350324.48,990.565236695,241.74,9211369770.92
2022-06-20 00:00:00.000,Arbitrum,19098,129,18333394,954.367204581,353.93,1578417089.82
2022-06-20 00:00:00.000,Optimism,17030,167,36815470.8,355.887273676,62.95,1208483465.86
2022-06-20 00:00:00.000,Polygon,72833,681,463301560.57,738.763608512,121.23,9674671331.49
2022-06-27 00:00:00.000,Arbitrum,15057,121,14610955.6,995.296702997,421.165,1593028045.42
2022-06-27 00:00:00.000,Optimism,10906,149,25384962.9,509.431324503,64.25,1233868428.76
2022-06-27 00:00:00.000,Polygon,75340,660,362523813.47,663.819565497,107.17,10037195144.96
2022-07-04 00:00:00.000,Arbitrum,11079,131,26190239.83,1582.778741162,498.35,1619218285.25
2022-07-04 00:00:00.000,Optimism,9401,153,17877889.14,504.270136237,64.1,1251746317.9
2022-07-04 00:00:00.000,Polygon,47557,662,317199175.26,707.697401146,114.15,10354394320.22
2022-07-11 00:00:00.000,Arbitrum,11506,134,41501665.84,2770.471684913,507.48,1660719951.09
2022-07-11 00:00:00.000,Optimism,13587,163,24274415.16,475.372378975,63.88,1276020733.06
2022-07-11 00:00:00.000,Polygon,54875,701,453997357.79,820.15748884,144.91,10808391678.01
2022-07-18 00:00:00.000,Arbitrum,14255,143,33830946.11,2078.961845388,561.94,1694550897.2
2022-07-18 00:00:00.000,Optimism,12662,187,75749455.99,834.107316963,64.12,1351770189.05
2022-07-18 00:00:00.000,Polygon,58397,711,712159950.22,1148.74883896,200.28,11520551628.23
2022-07-25 00:00:00.000,Arbitrum,15746,154,43317220.18,2242.672543619,537.41,1737868117.38
2022-07-25 00:00:00.000,Optimism,21486,192,135629301.68,675.814946833,63.7,1487399490.73
2022-07-25 00:00:00.000,Polygon,56846,718,683088635.41,1234.638847959,224.66,12203640263.64
2022-08-01 00:00:00.000,Arbitrum,19588,191,51069105.75,1496.618285321,42.11,1788937223.13
2022-08-01 00:00:00.000,Optimism,21224,215,95068435.36,398.157378241,55.07,1582467926.09
2022-08-01 00:00:00.000,Polygon,53515,708,497818380.76,1348.374130916,196.18,12701458644.4
2022-08-08 00:00:00.000,Arbitrum,19165,209,57886915.08,1785.861512927,41.09,1846824138.21
2022-08-08 00:00:00.000,Optimism,18248,203,72080637.13,477.684213829,63.72,1654548563.22
2022-08-08 00:00:00.000,Polygon,60203,730,597700718.37,1501.907770787,171.66,13299159362.77
2022-08-15 00:00:00.000,Arbitrum,14908,170,41021119.21,1525.459046149,128.64,1887845257.42
2022-08-15 00:00:00.000,Optimism,20683,203,69104122.54,461.959920449,64.27,1723652685.76
2022-08-15 00:00:00.000,Polygon,65184,747,716472369.37,1421.295798377,169.785,14015631732.14
2022-08-22 00:00:00.000,Arbitrum,24182,190,37613106.97,702.746613045,0.18,1925458364.39
2022-08-22 00:00:00.000,Optimism,13617,189,56345636.17,485.868086903,64.27,1779998321.93
2022-08-22 00:00:00.000,Polygon,57560,697,595809229.96,1287.890878899,185.675,14611440962.1
2022-08-29 00:00:00.000,Arbitrum,48478,212,41301281.84,294.024175014,0.03,1966759646.23
2022-08-29 00:00:00.000,Optimism,18272,193,58744940.37,559.039039702,64.02,1838743262.3
2022-08-29 00:00:00.000,Polygon,56026,741,587166673.31,1332.416579248,173.25,15198607635.41
2022-09-05 00:00:00.000,Arbitrum,46094,226,44941876.8,349.919233854,0.03,2011701523.03
2022-09-05 00:00:00.000,Optimism,13894,194,61630703.56,570.538441799,64.04,1900373965.86
2022-09-05 00:00:00.000,Polygon,55661,738,608994301.33,1326.689587306,157.13,15807601936.74
2022-09-12 00:00:00.000,Arbitrum,40179,235,52014120.37,537.724804818,0.02,2063715643.4
2022-09-12 00:00:00.000,Optimism,17489,199,56774857.41,433.869471331,64.44,1957148823.27
2022-09-12 00:00:00.000,Polygon,64049,775,762417641.64,1399.583735613,212.25,16570019578.38
2022-09-19 00:00:00.000,Arbitrum,38832,254,42561660.17,315.521636927,17.27,2106277303.57
2022-09-19 00:00:00.000,Optimism,34733,195,53070192.51,350.379246096,64.04,2010219015.78
2022-09-19 00:00:00.000,Polygon,56027,858,668067579.13,1040.799869025,120.44,17238087157.51
2022-09-26 00:00:00.000,Arbitrum,35333,264,29684812.48,204.90372522,20.92,2135962116.05
2022-09-26 00:00:00.000,Optimism,33635,200,46725612.29,400.15768267,64.13,2056944628.07
2022-09-26 00:00:00.000,Polygon,55638,826,595909152.7,1109.752135016,100.66,17833996310.21
2022-10-03 00:00:00.000,Arbitrum,37110,281,98676064.04,647.242903133,22.01,2234638180.09
2022-10-03 00:00:00.000,Optimism,32946,200,21482530.51,299.566746291,29.97,2078427158.58
2022-10-03 00:00:00.000,Polygon,51246,846,418437242.7,953.170862311,44.96,18252433552.91
2022-10-10 00:00:00.000,Arbitrum,31421,272,41464968.62,319.876636375,21.27,2276103148.71
