CHAIN,UNIQUE_USERS,VOLUME,AVG_SWAP_SIZE_USD,MEDIAN_SWAP_SIZE_USD
Arbitrum,2822527,56830542207.52,2416.135319272,416.85
Avalanche,152998,671835143.16,687.547670064,361.11
BSC,1456693,1281188220,744.297012792,63.62
Base,367249,1211392973.86,576.860115068,34.99
Optimism,1689387,10280335847.04,724.106525201,60.57
Polygon,2867749,46873281135.13,1024.956033735,127.97
﻿
