WEEK,CHAIN,ACTIVE_USERS,CUMU_ACTIVE_USERS,SWAP_COUNT,CUMU_TXN_COUNT,TXN_PER_USER,PREV_WEEK_ACTIVE_USERS,RETENTION_RATE
2022-03-07 00:00:00.000,Polygon,41410,640237,219325,2945342,5.296426,52936,78.23
2022-03-14 00:00:00.000,Arbitrum,3755,200067,29497,731436,7.855393,3975,94.47
2022-03-14 00:00:00.000,Optimism,3447,99791,131425,1178420,38.127357,3642,94.65
2022-03-14 00:00:00.000,Polygon,47745,687982,229626,3174968,4.809425,41410,115.3
2022-03-21 00:00:00.000,Arbitrum,5803,205870,32380,763816,5.579872,3755,154.54
2022-03-21 00:00:00.000,Optimism,5074,104865,146317,1324737,28.836618,3447,147.2
2022-03-21 00:00:00.000,Polygon,54703,742685,238970,3413938,4.368499,47745,114.57
2022-03-28 00:00:00.000,Arbitrum,6604,212474,40050,803866,6.064506,5803,113.8
2022-03-28 00:00:00.000,Optimism,5678,110543,226843,1551580,39.951215,5074,111.9
2022-03-28 00:00:00.000,Polygon,59284,801969,308543,3722481,5.20449,54703,108.37
2022-04-04 00:00:00.000,Arbitrum,4638,217112,30541,834407,6.58495,6604,70.23
2022-04-04 00:00:00.000,Optimism,3954,114497,213193,1764773,53.918311,5678,69.64
2022-04-04 00:00:00.000,Polygon,61467,863436,280720,4003201,4.567003,59284,103.68
2022-04-11 00:00:00.000,Arbitrum,7350,224462,36942,871349,5.026122,4638,158.47
2022-04-11 00:00:00.000,Optimism,6017,120514,164480,1929253,27.335882,3954,152.18
2022-04-11 00:00:00.000,Polygon,68558,931994,275455,4278656,4.017839,61467,111.54
2022-04-18 00:00:00.000,Arbitrum,8259,232721,36364,907713,4.402954,7350,112.37
2022-04-18 00:00:00.000,Optimism,14760,135274,193677,2122930,13.121748,6017,245.31
2022-04-18 00:00:00.000,Polygon,70291,1002285,291487,4570143,4.146861,68558,102.53
2022-04-25 00:00:00.000,Arbitrum,20478,253199,61972,969685,3.026272,8259,247.95
2022-04-25 00:00:00.000,Optimism,13413,148687,213176,2336106,15.893238,14760,90.87
2022-04-25 00:00:00.000,Polygon,76552,1078837,355817,4925960,4.648043,70291,108.91
2022-05-02 00:00:00.000,Arbitrum,22416,275615,60364,1030049,2.692898,20478,109.46
2022-05-02 00:00:00.000,Optimism,12085,160772,230263,2566369,19.05362,13413,90.1
2022-05-02 00:00:00.000,Polygon,75087,1153924,375071,5301031,4.995152,76552,98.09
2022-05-09 00:00:00.000,Arbitrum,16187,291802,84103,1114152,5.195713,22416,72.21
2022-05-09 00:00:00.000,Optimism,8960,169732,519630,3085999,57.99442,12085,74.14
2022-05-09 00:00:00.000,Polygon,67967,1221891,610551,5911582,8.983051,75087,90.52
2022-05-16 00:00:00.000,Arbitrum,20349,312151,62220,1176372,3.057644,16187,125.71
2022-05-16 00:00:00.000,Optimism,10808,180540,198850,3284849,18.398409,8960,120.63
2022-05-16 00:00:00.000,Polygon,60800,1282691,376627,6288209,6.194523,67967,89.46
2022-05-23 00:00:00.000,Arbitrum,20185,332336,61312,1237684,3.037503,20349,99.19
2022-05-23 00:00:00.000,Optimism,13036,193576,202309,3487158,15.519254,10808,120.61
2022-05-23 00:00:00.000,Polygon,55179,1337870,338766,6626975,6.139401,60800,90.75
2022-05-30 00:00:00.000,Arbitrum,25453,357789,65994,1303678,2.592779,20185,126.1
2022-05-30 00:00:00.000,Optimism,68945,262521,280042,3767200,4.061817,13036,528.88
2022-05-30 00:00:00.000,Polygon,54545,1392415,311441,6938416,5.709799,55179,98.85
2022-06-06 00:00:00.000,Arbitrum,23787,381576,70948,1374626,2.982638,25453,93.45
2022-06-06 00:00:00.000,Optimism,27396,289917,231573,3998773,8.452803,68945,39.74
2022-06-06 00:00:00.000,Polygon,56078,1448493,365587,7304003,6.519259,54545,102.81
2022-06-13 00:00:00.000,Arbitrum,17030,398606,85984,1460610,5.048972,23787,71.59
2022-06-13 00:00:00.000,Optimism,15808,305725,413560,4412333,26.161437,27396,57.7
2022-06-13 00:00:00.000,Polygon,54087,1502580,579310,7883313,10.710707,56078,96.45
2022-06-20 00:00:00.000,Arbitrum,19098,417704,75468,1536078,3.951618,17030,112.14
2022-06-20 00:00:00.000,Optimism,17030,322755,256213,4668546,15.044803,15808,107.73
2022-06-20 00:00:00.000,Polygon,72833,1575413,490931,8374244,6.740502,54087,134.66
2022-06-27 00:00:00.000,Arbitrum,15057,432761,52726,1588804,3.50176,19098,78.84
2022-06-27 00:00:00.000,Optimism,10906,333661,183858,4852404,16.858427,17030,64.04
2022-06-27 00:00:00.000,Polygon,75340,1650753,434333,8808577,5.764972,72833,103.44
2022-07-04 00:00:00.000,Arbitrum,11079,443840,52711,1641515,4.75774,15057,73.58
2022-07-04 00:00:00.000,Optimism,9401,343062,157005,5009409,16.700883,10906,86.2
2022-07-04 00:00:00.000,Polygon,47557,1698310,364503,9173080,7.66455,75340,63.12
2022-07-11 00:00:00.000,Arbitrum,11506,455346,57076,1698591,4.960542,11079,103.85
2022-07-11 00:00:00.000,Optimism,13587,356649,202225,5211634,14.883712,9401,144.53
2022-07-11 00:00:00.000,Polygon,54875,1753185,461209,9634289,8.40472,47557,115.39
2022-07-18 00:00:00.000,Arbitrum,14255,469601,76264,1774855,5.349982,11506,123.89
2022-07-18 00:00:00.000,Optimism,12662,369311,307595,5519229,24.292766,13587,93.19
2022-07-18 00:00:00.000,Polygon,58397,1811582,504480,10138769,8.6388,54875,106.42
2022-07-25 00:00:00.000,Arbitrum,15746,485347,78079,1852934,4.958656,14255,110.46
2022-07-25 00:00:00.000,Optimism,21486,390797,380875,5900104,17.726659,12662,169.69
2022-07-25 00:00:00.000,Polygon,56846,1868428,463798,10602567,8.15885,58397,97.34
2022-08-01 00:00:00.000,Arbitrum,19588,504935,90532,1943466,4.621809,15746,124.4
2022-08-01 00:00:00.000,Optimism,21224,412021,334064,6234168,15.739917,21486,98.78
