CHAIN,TOKEN,UNIQUE_SWAPPERS
Arbitrum,WETH,2442108
Arbitrum,USDC,1061558
Arbitrum,USDT,660353
Arbitrum,ARB,342229
Arbitrum,DAI,221574
Avalanche,WAVAX,86372
Avalanche,USDC,73377
Avalanche,USDt,33596
Avalanche,WETH.e,10949
Avalanche,BTC.b,10779
BSC,WBNB,844432
BSC,USDT,527658
BSC,BUSD,260490
BSC,USDC,149734
BSC,ETH,111839
Base,WETH,266745
Base,USDbC,199637
Base,USDC,64463
Base,SOFI,54079
Base,DAI,33406
Optimism,WETH,1325025
Optimism,USDC,883541
Optimism,DAI,580588
Optimism,USDT,431300
Optimism,OP,425267
Polygon,WMATIC,1848051
Polygon,USDC,1332911
Polygon,USDT,853550
Polygon,WETH,853042
Polygon,DAI,290702
﻿
