WEEK,CHAIN,NEW_USERS,CUMU_NEW_USERS
2022-07-25 00:00:00.000,Optimism,6210,189205
2022-07-25 00:00:00.000,Polygon,16674,813659
2022-08-01 00:00:00.000,Arbitrum,6634,279067
2022-08-01 00:00:00.000,Optimism,5635,194840
2022-08-01 00:00:00.000,Polygon,17148,830807
2022-08-08 00:00:00.000,Arbitrum,6729,285796
2022-08-08 00:00:00.000,Optimism,4980,199820
2022-08-08 00:00:00.000,Polygon,18703,849510
2022-08-15 00:00:00.000,Arbitrum,4862,290658
2022-08-15 00:00:00.000,Optimism,7659,207479
2022-08-15 00:00:00.000,Polygon,22392,871902
2022-08-22 00:00:00.000,Arbitrum,7585,298243
2022-08-22 00:00:00.000,Optimism,3621,211100
2022-08-22 00:00:00.000,Polygon,18994,890896
2022-08-29 00:00:00.000,Arbitrum,20775,319018
2022-08-29 00:00:00.000,Optimism,3786,214886
2022-08-29 00:00:00.000,Polygon,16857,907753
2022-09-05 00:00:00.000,Arbitrum,14913,333931
2022-09-05 00:00:00.000,Optimism,3121,218007
2022-09-05 00:00:00.000,Polygon,15440,923193
2022-09-12 00:00:00.000,Arbitrum,9893,343824
2022-09-12 00:00:00.000,Optimism,3115,221122
2022-09-12 00:00:00.000,Polygon,16721,939914
2022-09-19 00:00:00.000,Arbitrum,14711,358535
2022-09-19 00:00:00.000,Optimism,15858,236980
2022-09-19 00:00:00.000,Polygon,15900,955814
2022-09-26 00:00:00.000,Arbitrum,10404,368939
2022-09-26 00:00:00.000,Optimism,10831,247811
2022-09-26 00:00:00.000,Polygon,18096,973910
2022-10-03 00:00:00.000,Arbitrum,10018,378957
2022-10-03 00:00:00.000,Optimism,10064,257875
2022-10-03 00:00:00.000,Polygon,15244,989154
2022-10-10 00:00:00.000,Arbitrum,8611,387568
2022-10-10 00:00:00.000,Optimism,5963,263838
2022-10-10 00:00:00.000,Polygon,15563,1004717
2022-10-17 00:00:00.000,Arbitrum,23097,410665
2022-10-17 00:00:00.000,Optimism,7598,271436
2022-10-17 00:00:00.000,Polygon,14822,1019539
2022-10-24 00:00:00.000,Arbitrum,37083,447748
2022-10-24 00:00:00.000,Optimism,13956,285392
2022-10-24 00:00:00.000,Polygon,20601,1040140
2022-10-31 00:00:00.000,Arbitrum,28780,476528
2022-10-31 00:00:00.000,Optimism,16116,301508
2022-10-31 00:00:00.000,Polygon,22017,1062157
2022-11-07 00:00:00.000,Arbitrum,26111,502639
2022-11-07 00:00:00.000,Optimism,19588,321096
2022-11-07 00:00:00.000,Polygon,27665,1089822
2022-11-14 00:00:00.000,Arbitrum,21250,523889
2022-11-14 00:00:00.000,Optimism,20822,341918
2022-11-14 00:00:00.000,Polygon,26133,1115955
2022-11-21 00:00:00.000,Arbitrum,22093,545982
2022-11-21 00:00:00.000,Optimism,23918,365836
2022-11-21 00:00:00.000,Polygon,21259,1137214
2022-11-28 00:00:00.000,Arbitrum,23061,569043
2022-11-28 00:00:00.000,Optimism,19956,385792
2022-11-28 00:00:00.000,Polygon,17761,1154975
2022-12-05 00:00:00.000,Arbitrum,19357,588400
2022-12-05 00:00:00.000,Optimism,26578,412370
2022-12-05 00:00:00.000,Polygon,16099,1171074
2022-12-12 00:00:00.000,Arbitrum,19200,607600
2022-12-12 00:00:00.000,Optimism,38116,450486
2022-12-12 00:00:00.000,Polygon,19520,1190594
2022-12-19 00:00:00.000,Arbitrum,14060,621660
2022-12-19 00:00:00.000,Optimism,37239,487725
2022-12-19 00:00:00.000,Polygon,16181,1206775
2022-12-26 00:00:00.000,Arbitrum,12132,633792
2022-12-26 00:00:00.000,Optimism,38510,526235
2022-12-26 00:00:00.000,Polygon,14074,1220849
2023-01-02 00:00:00.000,Arbitrum,16959,650751
2023-01-02 00:00:00.000,Optimism,51313,577548
2023-01-02 00:00:00.000,Polygon,13291,1234140
2023-01-09 00:00:00.000,Arbitrum,20596,671347
2023-01-09 00:00:00.000,Optimism,49733,627281
2023-01-09 00:00:00.000,Polygon,15730,1249870
2023-01-16 00:00:00.000,Arbitrum,10231,681578
2023-01-16 00:00:00.000,Optimism,12831,640112
2023-01-16 00:00:00.000,Polygon,16782,1266652
2023-01-23 00:00:00.000,Arbitrum,7598,689176
2023-01-23 00:00:00.000,Optimism,2680,642792
2023-01-23 00:00:00.000,Polygon,17305,1283957
2023-01-30 00:00:00.000,Arbitrum,15245,704421
2023-01-30 00:00:00.000,Optimism,3445,646237
2023-01-30 00:00:00.000,Polygon,15444,1299401
2023-02-06 00:00:00.000,Arbitrum,18323,722744
2023-02-06 00:00:00.000,Optimism,4004,650241
2023-02-06 00:00:00.000,Polygon,14314,1313715
2023-02-13 00:00:00.000,Arbitrum,21709,744453
2023-02-13 00:00:00.000,Optimism,4634,654875
2023-02-13 00:00:00.000,Polygon,16523,1330238
2023-02-20 00:00:00.000,Arbitrum,27604,772057
2023-02-20 00:00:00.000,Optimism,9390,664265
2023-02-20 00:00:00.000,Polygon,17571,1347809
2023-02-27 00:00:00.000,Arbitrum,20141,792198
2023-02-27 00:00:00.000,Optimism,9241,673506
2023-02-27 00:00:00.000,Polygon,27229,1375038
2023-03-06 00:00:00.000,Arbitrum,19588,811786
2023-03-06 00:00:00.000,BSC,4,4
2023-03-06 00:00:00.000,Optimism,7382,680888
2023-03-06 00:00:00.000,Polygon,18255,1393293
2023-03-13 00:00:00.000,Arbitrum,25681,837467
2023-03-13 00:00:00.000,BSC,19519,19523
2023-03-13 00:00:00.000,Optimism,17617,698505
2023-03-13 00:00:00.000,Polygon,19357,1412650
2023-03-20 00:00:00.000,Arbitrum,61405,898872
2023-03-20 00:00:00.000,BSC,43424,62947
2023-03-20 00:00:00.000,Optimism,11771,710276
2023-03-20 00:00:00.000,Polygon,23888,1436538
2023-03-27 00:00:00.000,Arbitrum,61264,960136
2023-03-27 00:00:00.000,BSC,34545,97492
2023-03-27 00:00:00.000,Optimism,17695,727971
2023-03-27 00:00:00.000,Polygon,32439,1468977
2023-04-03 00:00:00.000,Arbitrum,74048,1034184
2023-04-03 00:00:00.000,BSC,32205,129697
2023-04-03 00:00:00.000,Optimism,25030,753001
2023-04-03 00:00:00.000,Polygon,32887,1501864
2023-04-10 00:00:00.000,Arbitrum,99714,1133898
2023-04-10 00:00:00.000,BSC,33481,163178
2023-04-10 00:00:00.000,Optimism,31822,784823
2023-04-10 00:00:00.000,Polygon,37133,1538997
2023-04-17 00:00:00.000,Arbitrum,98636,1232534
2023-04-17 00:00:00.000,BSC,30035,193213
2023-04-17 00:00:00.000,Optimism,19471,804294
2023-04-17 00:00:00.000,Polygon,34857,1573854
